Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
1984-85,21,CHI,NBA,SG,82,82,3144,12.9,25.0,.515,0.1,0.8,.173,12.7,24.2,.526,.518,9.7,11.5,.845,2.6,5.6,8.2,7.4,3.0,1.1,4.5,4.4,35.5,118,107,MVP-6ROY-1ASNBA2
1985-86,22,CHI,NBA,SG,18,7,451,16.0,35.0,.457,0.3,1.9,.167,15.7,33.1,.474,.462,11.2,13.3,.840,2.5,4.4,6.8,5.7,3.9,2.2,4.8,4.9,43.5,109,107,AS
1986-87,23,CHI,NBA,SG,82,82,3281,16.8,34.8,.482,0.2,1.0,.182,16.6,33.8,.491,.484,12.7,14.8,.857,2.5,4.0,6.6,5.8,3.6,1.9,4.2,3.6,46.4,117,104,MVP-2DPOY-8ASNBA1
1987-88,24,CHI,NBA,SG,82,82,3311,16.2,30.3,.535,0.1,0.8,.132,16.1,29.5,.546,.537,11.0,13.1,.841,2.1,4.7,6.8,7.4,3.9,2.0,3.8,4.1,43.6,123,101,MVP-1DPOY-1ASNBA1DEF1
1988-89,25,CHI,NBA,SG,81,81,3255,14.7,27.3,.538,0.4,1.5,.276,14.3,25.8,.553,.546,10.2,12.1,.850,2.3,7.6,9.9,9.9,3.6,1.0,4.4,3.8,40.0,123,103,MVP-2DPOY-5ASNBA1DEF1
1989-90,26,CHI,NBA,SG,82,82,3197,16.0,30.5,.526,1.4,3.8,.376,14.6,26.7,.548,.550,9.2,10.8,.848,2.2,6.6,8.8,8.1,3.5,0.8,3.8,3.7,42.7,123,106,MVP-3DPOY-5ASNBA1DEF1
1990-91,27,CHI,NBA,SG,82,82,3034,16.4,30.4,.539,0.5,1.5,.312,15.9,28.9,.551,.547,9.4,11.1,.851,2.0,6.2,8.1,7.5,3.7,1.4,3.3,3.8,42.7,125,102,MVP-1DPOY-7ASNBA1DEF1
1991-92,28,CHI,NBA,SG,80,80,3102,15.5,29.8,.519,0.4,1.6,.270,15.0,28.2,.533,.526,8.0,9.7,.832,1.5,6.9,8.4,8.0,3.0,1.2,3.3,3.3,39.4,121,102,MVP-1DPOY-3ASNBA1DEF1
1992-93,29,CHI,NBA,SG,78,78,3067,16.8,33.9,.495,1.4,3.9,.352,15.4,30.0,.514,.515,8.1,9.6,.837,2.3,6.5,8.8,7.2,3.7,1.0,3.5,3.2,43.0,119,102,MVP-3DPOY-2ASNBA1DEF1
1994-95,31,CHI,NBA,SG,17,17,668,13.0,31.5,.411,1.2,2.5,.500,11.7,29.0,.403,.431,8.5,10.6,.801,2.0,7.2,9.1,7.0,2.3,1.0,2.7,3.7,35.7,109,103,MVP-11
1995-96,32,CHI,NBA,SG,82,82,3090,15.6,31.5,.495,1.9,4.4,.427,13.7,27.1,.506,.525,9.3,11.2,.834,2.5,6.7,9.3,6.0,3.1,0.7,3.4,3.3,42.5,124,100,MVP-1DPOY-6ASNBA1DEF1
1996-97,33,CHI,NBA,SG,82,82,3106,15.8,32.5,.486,1.9,5.1,.374,13.9,27.4,.507,.516,8.2,9.9,.833,1.9,6.3,8.3,6.0,2.4,0.8,2.9,2.7,41.8,121,102,MVP-2DPOY-5ASNBA1DEF1
1997-98,34,CHI,NBA,SG,82,82,3181,14.9,32.1,.465,0.5,2.1,.238,14.4,30.0,.482,.473,9.6,12.2,.784,2.2,5.8,8.1,4.8,2.4,0.8,3.1,2.6,40.0,114,100,MVP-1DPOY-4ASNBA1DEF1
2001-02,38,WAS,NBA,SF,60,53,2093,14.3,34.4,.416,0.3,1.4,.189,14.0,33.0,.426,.420,6.8,8.6,.790,1.3,7.5,8.8,8.0,2.2,0.7,4.2,3.1,35.7,99,105,MVP-13AS
2002-03,39,WAS,NBA,SF,82,67,3031,12.2,27.4,.445,0.3,1.0,.291,11.9,26.4,.450,.450,4.8,5.8,.821,1.3,7.7,8.9,5.6,2.2,0.7,3.1,3.1,29.5,101,103,AS
